dish_id,unit,event_id,category_id,planned_qty,stage_id,dish_name,planned_cost,id,created_date,updated_date,created_by_id,created_by,is_sample
"69a00a7b26840b2683304fd7","","69b167981d2bf3f7e749b941","691ef050418ec1421660f46a","0","","חצי מגש שוקולד","0","69b298e693d4a0257da3d7de","2026-03-12T10:43:50.123000","2026-03-12T10:43:50.123000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"69a00a7b26840b2683304fd5","","69b167981d2bf3f7e749b941","691ef050418ec1421660f46a","0","","Cassis - NEW Ice Cream Bar סורבה אוכמניות וטפיוקת פירות","0","69b298e5a6d9f24d8de4cfec","2026-03-12T10:43:49.129000","2026-03-12T10:43:49.129000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"69a00a7b26840b2683304fd4","","69b167981d2bf3f7e749b941","691ef050418ec1421660f46a","0","","חצי מגש פבלובה","0","69b298e4b96bee4bd9e9aad7","2026-03-12T10:43:48.305000","2026-03-12T10:43:48.305000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"69a00a7b26840b2683304fd3","","69b167981d2bf3f7e749b941","691ef050418ec1421660f46a","0","","קאנל לוטוס, שוקולד בלגי מריר ועוגיות לוטוס שבורות","0","69b298e169c5a6505cb8fbd3","2026-03-12T10:43:45.352000","2026-03-12T10:43:45.352000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"69a00b6426840b2683305054","","69b167981d2bf3f7e749b941","691ef050418ec1421660f469","0","","קארי מסמאן אדום עם טופו","0","69b298ceb8bba8969db41341","2026-03-12T10:43:26.427000","2026-03-12T10:43:26.427000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"69a00a7b26840b2683304fd9","","69b167981d2bf3f7e749b941","691ef050418ec1421660f469","0","","עוף שלם עם תפוחי אדמה פרובאנס","0","69b298cd75f572e2d510d057","2026-03-12T10:43:25.609000","2026-03-12T10:43:25.609000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"69a00af226840b2683305019","","69b167981d2bf3f7e749b941","691ef050418ec1421660f469","0","","עוף בחמישה תבלינים","0","69b298cc9294b8a0a53aaa8e","2026-03-12T10:43:24.399000","2026-03-12T10:43:24.399000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"69a00af226840b268330501a","","69b167981d2bf3f7e749b941","691ef050418ec1421660f469","0","","פילה מיניון עם שעועית ירוקה ופירה כמהין","0","69b298cbb59ef9e592efd2ad","2026-03-12T10:43:23.614000","2026-03-12T10:43:23.614000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"69a00af226840b2683305017","","69b167981d2bf3f7e749b941","691ef050418ec1421660f469","0","","פילה אקווה פאצה מים משוגעים","0","69b298ca1429727b923c746f","2026-03-12T10:43:22.453000","2026-03-12T10:43:22.453000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"69a00b6426840b268330505c","","69b167981d2bf3f7e749b941","691ef050418ec1421660f469","0","","דג ים עם ניוקי עננים ברוטב זעפרן","0","69b298c94e974faf515d021d","2026-03-12T10:43:21.525000","2026-03-12T10:43:21.525000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
