waste_pct,last_price_update,ingredient_category_name,current_supplier_id,ingredient_category_id,on_hand_qty,unit,system_unit,price_per_system,name,base_price,purchase_unit,current_supplier_name,category,price_per_unit,id,created_date,updated_date,created_by_id,created_by,is_sample
"0","2026-02-26","בצק ולחם","69a04066646fa3cff36cbf96","694af88a3cc726579c37ab94","0","ק״ג","ק״ג","10","לחמניית המבורגר המוציא רמי","10","1","המוציא לחם חדש רמי","694af88a3cc726579c37ab94","10","69a041966adc85e44cba1d00","2026-02-26T12:50:30.129000","2026-02-26T12:50:30.129000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","2026-02-25","תבלינים ורטבים","691366fcbb19887994250dac","694af88a3cc726579c37ab97","0","ק״ג","ק״ג","21.666666666666668","פלפל צ'יפוטלה 3 קילו","65","3","י. שבי שיווק מזון בע״מ","694af88a3cc726579c37ab97","21.666666666666668","699ed4c56a47a365dd87f832","2026-02-25T10:53:57.899000","2026-02-25T10:56:45.099000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","2026-02-19","בצק ולחם","6997359d1e20b811f6c5fb54","694af88a3cc726579c37ab94","0","ק״ג","ק״ג","35.2","ניוקי תפוח אדמה קטן חלק","35.2","1","פסטה דלה קאזה","694af88a3cc726579c37ab94","35.2","699735eb8d4db81763a15e60","2026-02-19T16:10:19.074000","2026-02-19T16:10:19.074000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","2026-02-19","בצק ולחם","6997359d1e20b811f6c5fb54","694af88a3cc726579c37ab94","0","ק״ג","ק״ג","36.4","ניוקי ענן ג'אמבו","36.4","1","פסטה דלה קאזה","694af88a3cc726579c37ab94","36.4","699735c6867c1c900f0980e1","2026-02-19T16:09:42.762000","2026-02-19T16:09:42.762000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","2026-02-04","תבלינים ורטבים","691366fcbb19887994250dac","694af88a3cc726579c37ab97","0","ק״ג","ק״ג","13.52","חרדל גרגירים","67.6","5","י. שבי שיווק מזון בע״מ","694af88a3cc726579c37ab97","13.52","6983571b7cf91b4112e34db1","2026-02-04T14:26:35.858000","2026-02-04T14:26:35.858000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","2026-02-04","בצק ולחם","692d582a3942954ddf3779f6","694af88a3cc726579c37ab94","0","ק״ג","ק״ג","40","פסטה טאליטלה","10","0.25","דיפלומט מפיצים בע״מ","694af88a3cc726579c37ab94","40","698348a52ba705613982547f","2026-02-04T13:24:53.254000","2026-02-04T13:24:53.254000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","2026-02-04","ירקות ופירות","691366fcbb19887994250dac","694af88a3cc726579c37ab91","0","ק״ג","ק״ג","21.25","ברוקולי קפוא","170","8","י. שבי שיווק מזון בע״מ","694af88a3cc726579c37ab91","21.25","698346a01ecf3df046e0533e","2026-02-04T13:16:16.829000","2026-02-04T13:16:16.829000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","2026-02-04","תבלינים ורטבים","691366fcbb19887994250dac","694af88a3cc726579c37ab97","0","ק״ג","ק״ג","6.2","סוכר חום דמררה","6.2","1","י. שבי שיווק מזון בע״מ","694af88a3cc726579c37ab97","6.2","698344753d3c60cdbe98fa99","2026-02-04T13:07:01.922000","2026-02-04T13:07:01.922000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","2026-02-04","ירקות ופירות","6914a85fef1ba9cf97084972","694af88a3cc726579c37ab91","0","ק״ג","ק״ג","35","בצל שאלוט","35","1"," עלה עלה בע״מ","694af88a3cc726579c37ab91","35","6983429f1dd90386349aa5af","2026-02-04T12:59:11.185000","2026-02-04T12:59:11.185000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","2026-02-04","בשר ועוף","69833e5c900e1c2dac5ce157","694af88a3cc726579c37ab92","0","ק״ג","ק״ג","70.55","בשר טבעוני ללזניה","70.55","1","רדי פיין מיט","694af88a3cc726579c37ab92","70.55","69833f10cbc45b3f1bed0b7b","2026-02-04T12:44:00.257000","2026-02-04T12:44:00.257000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
