waste_pct,portion_factor,serving_percentage,preparation_mass_grams,pdf_files,recipe,avg_portion_per_guest,description,active,base_unit,operations_department,portion_size_grams,event_type,sub_category_id,name,sub_category_name,ingredients,unit_cost,price_per_guest,categories,id,created_date,updated_date,created_by_id,created_by,is_sample
"0","1","130","","[]","","0","","true","","","","serving","","סלט סום טאם מנות ראשונות","","[{""unit"":""ק״ג"",""ingredient_id"":""691491b3398597de1a02c2af"",""ingredient_name"":""שרי תמר"",""qty"":0.03},{""unit"":""ק״ג"",""ingredient_id"":""693fe557265ceb6041b464b3"",""ingredient_name"":""נענע מהדרין "",""qty"":0.05},{""unit"":""ליטר"",""ingredient_id"":""694a5d4f1efbca3bb938e155"",""ingredient_name"":""לימון טבעי לתיבול 2 ל' קפוא 6 יח בית יוסף"",""qty"":0.05},{""unit"":""ק״ג"",""ingredient_id"":""694a6a426faef3ff4708789c"",""ingredient_name"":""ג'ינג'ר"",""qty"":0.009},{""unit"":""ק״ג"",""ingredient_id"":""693fe76977ca7494aead1af0"",""ingredient_name"":""שום קלוף מובחר "",""qty"":0.03},{""unit"":""ק״ג"",""ingredient_id"":""69492825c4c1dfcb791b5754"",""ingredient_name"":""סוכר לבן 1/10 ק\""ג ייבוא בד\""ץ עד\""ח"",""qty"":0.015},{""unit"":""ק״ג"",""ingredient_id"":""694a59231705bd071ba701bc"",""ingredient_name"":""בוטן קלוי מטוגן 1 ק\""ג שקרצי"",""qty"":0.02},{""unit"":""ק״ג"",""ingredient_id"":""691ee669d17a8f3afa79a739"",""ingredient_name"":""שעועית ירוקה "",""qty"":0.02},{""unit"":""ליטר"",""ingredient_id"":""6954e6cec037e6e29e5fa496"",""ingredient_name"":""רוטב סום טאם"",""qty"":0.1},{""unit"":""ק״ג"",""ingredient_id"":""694a6da73a62079f664fb76a"",""ingredient_name"":""פפאיה ירוקה"",""qty"":0.2}]","7.016","0","[]","69affc2cfc72e5fa2bf703bd","2026-03-10T11:10:36.777000","2026-03-10T11:10:36.777000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","1","100","","[]","","0","","true","","","","party","","בצל ורוזמרין","","[]","0","0","[]","69a578412bce2f6cde1726cc","2026-03-02T11:45:05.006000","2026-03-02T11:45:05.006000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","1","100","","[]","","0","","true","","","","party","","חציל עגבניות חרוכות","","[]","0","0","[]","69a57839c34047b94ff7336c","2026-03-02T11:44:57.795000","2026-03-02T11:44:57.795000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","1","100","","[]","","0","","true","","","","party","","כמהין ופטריות","","[]","0","0","[]","69a578336f01346d2b13612e","2026-03-02T11:44:51.141000","2026-03-02T11:44:51.141000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","1","100","","[]","","0","","true","","","","party","","מרגריטה טלה","","[]","0","0","[]","69a57829555f69491152c058","2026-03-02T11:44:41.553000","2026-03-02T11:44:41.553000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","1","100","","[]","","0","","true","","","","party","","פסטו רוסטביף","","[]","0","0","[]","69a5782245c2e9df3d3ad9d9","2026-03-02T11:44:34.859000","2026-03-02T11:44:34.859000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","1","100","","[]","","0","","true","","","","party","","טופו בקארי מסמאן ארומטי מוגש עם אורז","","[{""unit"":""ק״ג"",""ingredient_id"":""694a7cd290b241c07c0a7346"",""ingredient_name"":""טופו רך 1 קג"",""qty"":0.04},{""unit"":""ק״ג"",""ingredient_id"":""694a6a2d13f6cc3a65e1847a"",""ingredient_name"":""זוקיני ירוק"",""qty"":0.02},{""unit"":""ק״ג"",""ingredient_id"":""694a6a707a61781d8606d16f"",""ingredient_name"":""בצל לבן"",""qty"":0.02},{""unit"":""ק״ג"",""ingredient_id"":""693fe0445298a9eff27ad253"",""ingredient_name"":""בזיליקום מהדרין"",""qty"":0.003},{""unit"":""ליטר"",""ingredient_id"":""699486721c61251c5cfc98be"",""ingredient_name"":""רוטב קארי מסמאן"",""qty"":0.08},{""unit"":""ק״ג"",""ingredient_id"":""691491b3398597de1a02c2a6"",""ingredient_name"":""תפוח אדמה מקולף"",""qty"":0.02},{""unit"":""ק״ג"",""ingredient_id"":""693fe7ab9892e2de3508a7da"",""ingredient_name"":""פטריות פורטובלו "",""qty"":0.02},{""unit"":""יחידה"",""ingredient_id"":""693fe5e11f1edfdeb9e71ef6"",""ingredient_name"":""חסה בוק צ׳וי"",""qty"":0.01}]","3.0462201946472023","0","[]","69a5781983d81f80234130d9","2026-03-02T11:44:25.817000","2026-03-02T12:25:10.081000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","1","100","","[]","","0","","true","","","","party","","פילה סלמון בגלייז עגבניות וקשיו, על רייס קייק עם בוקצ'וי","","[{""unit"":""יחידה"",""ingredient_id"":""693fe5e11f1edfdeb9e71ef6"",""ingredient_name"":""חסה בוק צ׳וי"",""qty"":0.025},{""unit"":""ליטר"",""ingredient_id"":""6954e7624430008e1d2d3a91"",""ingredient_name"":""מחית קשיו"",""qty"":0.05},{""unit"":""ק״ג"",""ingredient_id"":""6949196ca1de503ccdf9c826"",""ingredient_name"":""פילה סלמון טרי"",""qty"":0.12},{""unit"":""ק״ג"",""ingredient_id"":""69835a99203138741e28f4e3"",""ingredient_name"":""רייס קיק חום"",""qty"":0.01},{""unit"":""ק״ג"",""ingredient_id"":""691ee5da2c0f622bc718a40b"",""ingredient_name"":""קרם קוקוס 1/12 ליטר קרטונים 22%"",""qty"":0.005}]","14.798348794151446","0","[]","69a57810a69683d122805676","2026-03-02T11:44:16.715000","2026-03-02T12:20:45.563000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","1","75","","[]","","0","","true","","","","party","","מנת המבורגר","","[{""unit"":""ק״ג"",""ingredient_id"":""69a041966adc85e44cba1d00"",""ingredient_name"":""לחמניית המבורגר המוציא רמי"",""qty"":0},{""unit"":""ק״ג"",""ingredient_id"":""694a699cf49d6d1248c6efa9"",""ingredient_name"":""עגבניה"",""qty"":0.01},{""unit"":""ק״ג"",""ingredient_id"":""693fdcefde4444c3a76f0b90"",""ingredient_name"":""חסה קיסר "",""qty"":0.005},{""unit"":""יחידה"",""ingredient_id"":""6949207e5ac3705c0e82bf5f"",""ingredient_name"":""מלפפון קורנישון 670 גרם 680 1/12 גרם"",""qty"":0.01},{""unit"":""ליטר"",""ingredient_id"":""69a0401f4b30f006f57173b0"",""ingredient_name"":""איולי צ'יפוטלה"",""qty"":0.02},{""unit"":""ק״ג"",""ingredient_id"":""69a0402fb3f9ce5c762a3dc8"",""ingredient_name"":""קציצת המבורגר"",""qty"":0.16}]","0.16391666666666668","0","[]","69a5780145699725863ffe44","2026-03-02T11:44:01.853000","2026-03-02T12:12:09.298000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"0","1","110","","[]","","0","","true","","","","party","","קנטאקי פרייד צ'יקן","","[{""unit"":""ק״ג"",""ingredient_id"":""694a9e6587d197a737831fcc"",""ingredient_name"":""בריוש"",""qty"":0},{""unit"":""יחידה"",""ingredient_id"":""69491c567ec4bd92ea6f8b1f"",""ingredient_name"":""פרגית טרי"",""qty"":0.09},{""unit"":""ק״ג"",""ingredient_id"":""69a04c6806efffb6d3577548"",""ingredient_name"":""סלט קולסלאו"",""qty"":0}]","4.319999999999999","0","[]","69a577fb3d7c626f8733b366","2026-03-02T11:43:55.325000","2026-03-02T12:12:21.862000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
