anchor,category_id,category_name,default_role,department,description,duration_minutes,escalate_to_manager_if_not_done,escalation_role_id,escalation_role_name,is_active,manager_editable,reminder_before_end_minutes,reminder_before_start_minutes,schedule_rule,start_offset_minutes,task_type,title,id,created_date,updated_date,created_by_id,created_by,is_sample
"EVENT_START","","","","","","30","true","","","true","false","10","10","","0","RECURRING","לאשר כי יש במלאי לסופשבוע   2 עוגות גבינה ו2 מייפל ו2 גזר במקרר","69bfed474a8aa1780607cdeb","2026-03-22T13:23:19.454000","2026-03-22T13:23:19.454000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","","","","30","true","","","true","false","10","10","","0","RECURRING","הזמנת ירקות","69bfed1fdd35bf14bdde3836","2026-03-22T13:22:39.679000","2026-03-22T13:22:39.679000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","","","","30","true","","","true","false","10","10","","0","RECURRING","להעביר לעדי רשימת משקאות קלים ומוגזים","69bab5616852f140a6ce0c2b","2026-03-18T14:23:29.238000","2026-03-18T14:23:29.238000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","","","","30","true","","","true","false","10","10","","0","RECURRING","לברר מול קובי האם צריך לחם + להזמין אם צריך","69ba9e4f4ca31efa6d6c154f","2026-03-18T12:45:03.373000","2026-03-18T12:45:03.373000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","","","","30","true","","","true","false","10","10","","0","RECURRING","סידורי העבודה מוכנים בהתאם לאילוצים","69ba9db42349d0ec8b523a6b","2026-03-18T12:42:28.989000","2026-03-18T12:42:28.989000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","","","","30","true","","","true","false","10","10","","0","RECURRING","לוודא מול המנקה כי המשרדים והמטבחון נקיים ומסודרים","69ba9d5ca0d5ddf37862aa6d","2026-03-18T12:41:00.797000","2026-03-18T12:41:00.797000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","","","","30","true","","","true","false","10","10","","0","RECURRING","נא לשלוח אילוצים לחודש הבא","69b932ca11b5b3df35d5ff6f","2026-03-17T10:54:02.684000","2026-03-17T10:54:02.684000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","","","","30","true","","","true","false","10","10","","0","RECURRING","המשכורות מאושרות והועברו אל הרו""ח","69ad8301ab20a2912e3748a1","2026-03-08T14:09:05.511000","2026-03-08T14:09:05.511000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","699091785edc0942358a8502","","","30","true","69a5e912ef9ae5c9c27cab12","מנהל אירוע","true","false","10","10","","-150","PER_EVENT","הוצאת בגדים לצוות המלצרים","69a98a8e8c90e1232ca275aa","2026-03-05T13:52:14.366000","2026-03-05T17:35:27.754000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","69a5e866bbfd147e548f6a26","","","30","true","69a5e912ef9ae5c9c27cab12","מנהל אירוע","true","false","10","10","","-110","PER_EVENT","כיוון תאורה על שולחנות","69a9784c79013a95fe810d78","2026-03-05T12:34:20.353000","2026-03-05T17:35:37.479000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","69a6bf81a1cdb5e1afe66080","","","30","true","69a5e912ef9ae5c9c27cab12","מנהל אירוע","true","false","10","10","","-115","PER_EVENT","הפעלת מוזיקה רקע באולם","69a977cfbeebfbd6b6b58c9d","2026-03-05T12:32:15.670000","2026-03-05T17:35:49.977000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"EVENT_START","","","","","","30","true","","","true","false","10","10","","0","RECURRING","בדיקת חוסרים חומרי ניקוי + משקאות + הזמנת מה שצריך (גם לפטי וור)","69a9665d6c3cf9d2c464f6f8","2026-03-05T11:17:49.246000","2026-03-05T11:17:49.246000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
